FactKey,BusinessKey,DateKey,KPIKey,Value,Target,DataQualityFlag,Source_Note
1,1,20250201,1,28,24,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
2,1,20250201,2,34,29,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
3,1,20250201,3,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
4,1,20250201,4,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
5,1,20250201,5,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
6,1,20250201,6,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
7,1,20250201,7,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
8,1,20250201,8,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
9,1,20250201,9,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
10,1,20250201,10,22,19,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
11,1,20250201,11,28,24,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
12,1,20250201,12,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
13,1,20250201,13,139,118,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
14,1,20250201,14,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
15,1,20250201,15,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
16,1,20250201,16,0.1439,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
17,1,20250201,17,0.0432,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
18,1,20250201,18,0.1361,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
19,1,20250201,19,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
20,1,20250201,20,3.55,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
21,1,20250201,21,0.5419,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
22,1,20250201,22,53.3,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
23,1,20250201,23,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
24,1,20250201,24,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
25,1,20250201,25,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
26,1,20250201,26,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
27,1,20250201,27,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
28,1,20250201,28,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
29,1,20250201,29,2.91,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
30,1,20250201,30,2327960,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
